STATION,time,LATITUDE,LONGITUDE,ELEVATION,TEMP,PRCP,WDSP,DEWP,STP,SLP,VISIB,u10,v10,z,lsm,z_500,t_500,q_500,u_500,v_500,w_500,z_850,t_850,q_850,u_850,v_850,w_850
48825099999,2015-01-01,20.9667,105.7667,7.91,17.5,0.0,1.852,9.5,1021.533,1023.7,9.1732,-0.3969,0.4396,16.5352,0.9794,5880.9688,-4.6222,0.0015,8.2914,1.1895,0.057,1561.7135,7.1831,0.0043,-4.9829,-1.1574,-0.0444
48825099999,2015-01-02,20.9667,105.7667,7.91,16.5,0.0,1.6462,11.5,1020.5115,1022.6,9.1732,-1.0218,0.6409,16.5352,0.9794,5886.788,-5.0069,0.0022,8.502,-1.8268,0.0433,1547.5745,7.335,0.003,-3.6399,3.8375,0.0448
48825099999,2015-01-03,20.9667,105.7667,7.91,17.7222,0.0,2.2636,14.1111,1016.8291,1018.7,9.1732,-0.8337,0.7187,16.5352,0.9794,5885.3145,-3.8327,0.0011,3.3501,-0.9216,0.0852,1521.0192,10.1714,0.0062,3.7931,5.246,-0.0653
48825099999,2015-01-04,20.9667,105.7667,7.91,20.0,0.0,2.8809,17.0556,1010.7669,1012.8,9.1732,-1.4989,1.6729,16.5352,0.9794,5869.181,-4.4847,0.0009,6.5875,7.7857,-0.0079,1487.3086,14.3194,0.0086,7.6968,4.092,-0.0892
48825099999,2015-01-05,20.9667,105.7667,7.91,20.8889,0.0,0.8746,19.0556,1008.8389,1011.7,7.0811,-1.0117,0.7914,16.5352,0.9794,5851.953,-4.7271,0.001,12.9569,8.5499,0.0048,1485.1185,16.8136,0.0104,6.8256,3.1531,-0.0074
48825099999,2015-01-06,20.9667,105.7667,7.91,21.7778,0.254,1.1318,19.9444,1011.4131,1013.9,6.7592,-0.962,-0.638,16.5352,0.9794,5840.8677,-5.4092,0.0002,16.2984,2.7015,0.0619,1505.7502,15.0714,0.0111,1.2007,3.1766,0.0094
48825099999,2015-01-07,20.9667,105.7667,7.91,17.7222,1.016,3.6011,12.9444,1018.7861,1020.8,9.9779,-0.6655,-2.5853,16.5352,0.9794,5839.1943,-6.4536,1e-04,14.5899,5.0289,0.0361,1539.1337,11.7232,0.0102,-3.5347,3.6699,-0.2512
48825099999,2015-01-08,20.9667,105.7667,7.91,15.7222,0.0,2.7266,11.1111,1022.5358,1024.8,9.9779,-0.0489,-2.2893,16.5352,0.9794,5838.1323,-7.4955,0.0021,15.8718,11.012,-0.0652,1557.4004,8.6266,0.0081,-7.1891,3.0595,-0.3036
48825099999,2015-01-09,20.9667,105.7667,7.91,13.7222,1.524,2.8809,10.5,1022.7516,1025.1,9.1732,0.2896,-2.722,16.5352,0.9794,5820.3096,-8.3729,0.0032,19.7665,12.7935,-0.0946,1546.9982,5.1504,0.0063,-5.9319,0.8892,-0.3226
48825099999,2015-01-10,20.9667,105.7667,7.91,11.8889,7.874,2.5208,11.0556,1022.3304,1024.8,8.5295,0.5532,-1.9901,16.5352,0.9794,5795.817,-8.7956,0.0031,22.336,14.5192,-0.328,1537.7667,4.7323,0.0063,-4.3028,-1.0368,-0.0137
